University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Carleton,740.00,361.00,ON,Ottawa,Physics,Physics,MSc,7842,2043.42,9885.42,25902,2799.42,28701.42,,Yes,Does not specify,32000,22114.58,32000,NA,,,,,1.00,1.50,3.00,0.00,24408.00,"Ottawa, On",27966.6864,2058,24696,-5852.1064,-2581.42,-14581.42,-24668.1064,-21397.42,-33397.42
Carleton,740.00,361.00,ON,Ottawa,Physics,Physics,PhD,7428,2043.42,9471.42,19590,2799.42,22389.42,,Yes,Does not specify,36000,26528.58,36000,NA,,,,,1.00,1.50,3.00,0.00,24408.00,"Ottawa, On",27966.6864,2058,24696,-1438.1064,1832.58,-10167.42,-14356.1064,-11085.42,-23085.42
Trent,220.00,95.00,ON,Peterborough,Biological Sciences - Ecology,"Graduate programs are through the interdisciplinary 
Environmental & Life Sciences Graduate Programs",MSc,8090.87,458.67,8549.54,22276.07,458.67,22734.74,,Yes,2.00,NA,NA,NA,NA,,,12/03/2024,,0.00,1.00,0.00,0.00,21049.00,Peterborough ont 84230 pop Medium population Center,24117.9442,NA,NA,NA,NA,NA,NA,NA,NA
Trent,220.00,95.00,ON,Peterborough,Biological Sciences - Ecology,"Graduate programs are through the interdisciplinary 
Environmental & Life Sciences Graduate Programs",PhD,8090.87,458.67,8549.54,22276.07,458.67,22734.74,,Yes,4.00,NA,NA,NA,NA,,,12/03/2024,,0.00,1.00,0.00,0.00,21049.00,Peterborough ont 84230 pop Medium population Center,24117.9442,NA,NA,NA,NA,NA,NA,NA,NA
Trent,220.00,95.00,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,MSc,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,NA,NA,NA,NA,,,,,,,,,21049.00,Peterborough ont 84230 pop Medium population Center,24117.9442,NA,NA,NA,NA,NA,NA,NA,NA
Trent,220.00,95.00,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,PhD,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,NA,NA,NA,NA,,,,,,,,,21049.00,Peterborough ont 84230 pop Medium population Center,24117.9442,NA,NA,NA,NA,NA,NA,NA,NA
Brock,385.00,122.00,ON,St. Catharines,Biological Sciences - Ecology,Department of Biological Sciences,MSc,8176.23,1318.7,9494.93,24254.49,2074.7,26329.19,None indicated,Yes,2.00,16591.2,7096.27,23591.2,-2737.99,10.00,Not provided,12/03/2024,45017.00,0.00,1.00,0.00,2.00,22170.00,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,-18306.116,-12439.73,-24439.73,-28140.376,-22273.99,-34273.99
Brock,385.00,122.00,ON,St. Catharines,Biological Sciences - Ecology,Department of Biological Sciences,PhD,8176.23,1318.7,9494.93,24254.49,2074.7,26329.19,None indicated,Yes,4.00,21591.2,12096.27,32091.2,5762.01,10.00,Not provided,12/03/2024,45017.00,0.00,1.00,0.00,2.00,22170.00,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,-13306.116,-7439.73,-19439.73,-19640.376,-13773.99,-25773.99
Brock,385.00,122.00,ON,St. Catharines,Physics,Physics Department,MSc,8176.23,1318.7,9494.93,24254.49,2074.7,26329.19,,No,,,,,,,,18/04/2024,,0.00,1.00,1.00,0.00,22170.00,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,,,,,,
Brock,385.00,122.00,ON,St. Catharines,Physics,Physics Department,PhD,8176.23,1318.7,9494.93,24254.49,2074.7,26329.19,,No,,,,,,,,18/04/2024,,0.00,1.00,1.00,0.00,22170.00,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,,,,,,
University of Toronto,3724.00,3267.00,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,MSc,6390,2000,8390,28900,2800,31700,Some exemptions available,Yes,16 months,33214,24824,33214,NA,140 hours per year,NA,12/03/2024,45017.00,,,3.00,1.00,24864.00,Toronto,28489.1712,2620,31440,-3665.1712,-6616,-18616,-26975.1712,-29926,-41926
University of Toronto,3724.00,3267.00,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,PhD,6210,2000,8210,6210,2800,9010,Some exemptions available,Yes,"4-5, depending on admission stream (direct entry into PhD, or roll-up from MSc)",33214,25004,33214,NA,140 hours per year,NA,12/03/2024,45017.00,,,3.00,1.00,24864.00,Toronto,28489.1712,2620,31440,-3485.1712,-6436,-18436,-4285.1712,-7236,-19236
University of Toronto,3724.00,3267.00,ON,Toronto,Physics,Physics,MSc,6390,2000,8390,28900,2800,31700,,,,36890,28500,36890,28500,140 hours per year,,15/07/2024,45017.00,1.00,1.00,3.00,3.00,24864.00,Toronto,28489.1712,2620,31440,10.8288,-2940,-14940,10.8288,-2940,-14940
University of Toronto,3724.00,3267.00,ON,Toronto,Physics,Physics,PhD,6210,2000,8210,6210,2800,9010,,,,36710,28500,36710,28500,140 hours per year,,15/07/2024,45017.00,1.00,1.00,3.00,3.00,24864.00,Toronto,28489.1712,2620,31440,10.8288,-2940,-14940,10.8288,-2940,-14940
York,1296.00,567.00,ON,Toronto,Biological Sciences - Ecology,Department of Biology,MSc,4306.53,891.36,5197.89,18825,1647.36,20472.36,,Yes,2.00,26368,21170.11,44493,5895.64,,,16/07/2024,45413.00,1.00,1.50,3.00,2.00,24864.00,Toronto,28489.1712,2620,31440,-7319.0612,-10269.89,-22269.89,-22593.5312,-25544.36,-37544.36
York,1296.00,567.00,ON,Toronto,Biological Sciences - Ecology,Department of Biology,PhD,4306.53,891.36,5197.89,18000,1647.36,19647.36,,Yes,5.00,28944,23746.11,43668,9296.64,,,16/07/2024,45413.00,1.00,1.50,3.00,2.00,24864.00,Toronto,28489.1712,2620,31440,-4743.0612,-7693.89,-19693.89,-19192.5312,-22143.36,-34143.36
York,1296.00,567.00,ON,Toronto,Physics,Physics and Astronomy,MSc,4306.53,891.36,5197.89,18825,1647.36,20472.36,,,,30817,25619.11,48493,28020.64,,,18/04/2024,,1.00,1.50,2.00,1.00,24864.00,Toronto,28489.1712,2620,31440,-2870.0612,-5820.89,-17820.89,-468.5312,-3419.36,-15419.36
York,1296.00,567.00,ON,Toronto,Physics,Physics and Astronomy,PhD,4306.53,891.36,5197.89,18000,1647.36,19647.36,,,,31817,26619.11,48668,29020.64,,,18/04/2024,,1.00,1.50,2.00,1.00,24864.00,Toronto,28489.1712,2620,31440,-1870.0612,-4820.89,-16820.89,531.4688,-2419.36,-14419.36
TMU (Ryerson),1036.00,155.00,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,MSc,7612.63,1363.99,8976.62,24260,2119.98,26379.98,No,No,0.00,21500,12523.38,21500,NA,0.00,0.00,20/03/2024,45017.00,0.00,0.50,0.00,0.00,24864.00,Toronto,28489.1712,2620,31440,-15965.7912,-18916.62,-30916.62,-33369.1512,-36319.98,-48319.98
TMU (Ryerson),1036.00,155.00,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,PhD,7612.63,1363.99,8976.62,23240,2119.99,25359.99,No,No,0.00,25500,16523.38,25500,NA,0.00,0.00,20/03/2024,45017.00,0.00,0.50,0.00,0.00,24864.00,Toronto,28489.1712,2620,31440,-11965.7912,-14916.62,-26916.62,-28349.1612,-31299.99,-43299.99
TMU (Ryerson),1036.00,155.00,ON,Toronto,Physics,Department of Physics,MSc,7612.63,1363.99,8976.62,24260,2119.98,26379.98,No,,,25000,16023.38,25000,NA,10.00,0.00,2024-03-20 / 2024-07-15,45017.00,0.00,0.50,3.00,0.00,24864.00,Toronto,28489.1712,2620,31440,-12465.7912,-15416.62,-27416.62,-29869.1512,-32819.98,-44819.98
TMU (Ryerson),1036.00,155.00,ON,Toronto,Physics,Department of Physics,PhD,7612.63,1363.99,8976.62,23240,2119.99,25359.99,No,,,30000,21023.38,30000,NA,10.00,0.00,2024-03-20 / 2024-07-15,45017.00,0.00,0.50,3.00,0.00,24864.00,Toronto,28489.1712,2620,31440,-7465.7912,-10416.62,-22416.62,-23849.1612,-26799.99,-38799.99
Waterloo,1226.00,492.00,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,MSc,6762,1610.82,8372.82,23088,2366.82,25454.82,Additional funding may be available to offset international tuition differential,Yes,2.00,26073,17700.18,26073,NA,10 hours/week for 2 terms if holding a GTA,,12/03/2024,45017.00,0.00,1.00,2.00,1.00,22170.00,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-7702.206,-2867.82,-14867.82,-24784.206,-19949.82,-31949.82
Waterloo,1226.00,492.00,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,PhD,6762,1610.82,8372.82,22188,2366.82,24554.82,Additional funding may be available to offset international tuition differential,Yes,4.00,26073,17700.18,26073,NA,10 hours/week for 2 terms if holding a GTA,,12/03/2024,45017.00,0.00,1.00,2.00,1.00,22170.00,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-7702.206,-2867.82,-14867.82,-23884.206,-19049.82,-31049.82
Waterloo,1226.00,492.00,ON,Waterloo,Physics,Department of Physics and Astronomy,MSc,6762,1610.82,8372.82,23088,2366.82,25454.82,Additional funding may be available to offset international tuition differential,Yes,2.00,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,20/03/2024,45017.00,0.00,1.00,3.00,1.00,22170.00,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-4402.386,432,-11568,-4402.386,432,-11568
Waterloo,1226.00,492.00,ON,Waterloo,Physics,Department of Physics and Astronomy,PhD,6762,1610.82,8372.82,22188,2366.82,24554.82,Additional funding may be available to offset international tuition differential,Yes,4.00,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,20/03/2024,45017.00,0.00,1.00,3.00,1.00,22170.00,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-4402.386,432,-11568,-4402.386,432,-11568
Wilfrid Laurier,421.00,114.00,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,MSc,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,,21500,11841.44,21500,NA,Optional,,19/02/2024,,0.00,0.25,1.00,0.00,22170.00,Waterloo,25402.386,1714,20568,-13560.946,-8726.56,-20726.56,-27943.576,-23109.19,-35109.19
Wilfrid Laurier,421.00,114.00,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,PhD,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,4.00,27500,17841.44,27500,NA,Optional,,19/02/2024,,0.00,0.25,1.00,0.00,22170.00,Waterloo,25402.386,1714,20568,-7560.946,-2726.56,-14726.56,-21943.576,-17109.19,-29109.19
Windsor,427.00,140.00,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,MSc,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,NA,NA,NA,NA,NA,NA,,,18/04/2024,2023-2024,1.00,2.00,0.00,0.00,22170.00,"Windsor, Ont 233763 population large population",25402.386,1588,19056,NA,NA,NA,NA,NA,NA
Windsor,427.00,140.00,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,PhD,7179.3,1531.45,8710.75,23685,2271.61,25956.61,,NA,NA,NA,NA,NA,NA,,,18/04/2024,2023-2024,1.00,2.00,0.00,0.00,22170.00,"Windsor, Ont 233763 population large population",25402.386,1588,19056,NA,NA,NA,NA,NA,NA
Windsor,427.00,140.00,ON,Windsor,Physics,Department of Physics,MSc,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,No,,,,,,,,18/04/2024,2023-2024,1.00,2.00,,,22170.00,"Windsor, Ont 233763 population large population",25402.386,1588,19056,,,,,,
Windsor,427.00,140.00,ON,Windsor,Physics,Department of Physics,PhD,7179.3,1531.45,8710.75,23685,2271.61,25956.61,,No,,,,,,,,18/04/2024,2023-2024,1.00,2.00,,,22170.00,"Windsor, Ont 233763 population large population",25402.386,1588,19056,,,,,,
McGill,1676.00,1822.00,QC,Montreal,Biological Sciences - Ecology,Department of Biology,MSc,2880.9,2330.62,5211.52,19728,2840,22568,Full,Yes,2.00,25709.52,20498,25709.52,20498,180/yr,,06/06/2024,2024-2025,1.00,2.00,3.00,3.00,20753.00,Montreal,23778.7874,1769,21228,-3280.7874,-730,-12730,-3280.7874,-730,-12730
McGill,1676.00,1822.00,QC,Montreal,Biological Sciences - Ecology,Department of Biology,PhD,2880.9,2330.62,5211.52,17708.4,2840,20548.4,Full,Yes,45416.00,27274.52,22063,27274.52,22063,180/yr,,06/06/2024,2024-2025,1.00,2.00,3.00,3.00,20753.00,Montreal,23778.7874,1769,21228,-1715.7874,835,-11165,-1715.7874,835,-11165
McGill,1676.00,1822.00,QC,Montreal,Physics,Department of Physics,MSc,2880.9,2330.62,5211.52,19728,2840,22568,,Yes,,25500,20288.48,42347.1,19779.1,,,03/05/2024,2023-2024,2.00,2.00,3.00,2.00,20753.00,Montreal,23778.7874,1769,21228,-3490.3074,-939.52,-12939.52,-3999.6874,-1448.9,-13448.9
McGill,1676.00,1822.00,QC,Montreal,Physics,Department of Physics,PhD,2880.9,2330.62,5211.52,17708.4,2840,20548.4,,Yes,,25500,20288.48,40327.5,19779.1,,,03/05/2024,2023-2024,2.00,2.00,3.00,2.00,20753.00,Montreal,23778.7874,1769,21228,-3490.3074,-939.52,-12939.52,-3999.6874,-1448.9,-13448.9
UdeM,1277.00,442.00,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,MSc,4450.95,1992.27,6443.22,30479.85,1992.27,32472.12,,Yes,?,13000,6556.78,13000,NA,,,06/06/2024,2024.00,1.00,1.50,3.00,1.00,20753.00,Montreal,23778.7874,1769,21228,-17222.0074,-14671.22,-26671.22,-43250.9074,-40700.12,-52700.12
UdeM,1277.00,442.00,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,PhD,4450.95,1911.27,6362.22,27359.55,1911.27,29270.82,,Yes,?,15000,8637.78,15000,NA,,,06/06/2024,2024.00,1.00,1.50,3.00,1.00,20753.00,Montreal,23778.7874,1769,21228,-15141.0074,-12590.22,-24590.22,-38049.6074,-35498.82,-47498.82
UdeM,1277.00,442.00,QC,Montreal,Physics,Department of Physics,MSc,4450.95,1962.27,6413.22,30479.85,1962.27,32442.12,,Yes,?,16900,10486.78,16900,NA,,,06/06/2024,2024-2025,1.00,1.50,3.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-13292.0074,-10741.22,-22741.22,-39320.9074,-36770.12,-48770.12
UdeM,1277.00,442.00,QC,Montreal,Physics,Department of Physics,PhD,4450.95,1962.27,6413.22,27359.55,1962.27,29321.82,,Yes,?,19400,12986.78,19400,NA,,,06/06/2024,2024-2025,1.00,1.50,3.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-10792.0074,-8241.22,-20241.22,-33700.6074,-31149.82,-43149.82
Concordia,799.00,143.00,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,MSc,3241.01,2189.35,5430.36,22637.93,2189.35,24827.28,,Yes,2.00,15000,7650,15000,NA,,,06/06/2024,2024-2025,1.00,1.00,3.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-16128.7874,-13578,-25578,-33606.0624,-31055.275,-43055.275
Concordia,799.00,143.00,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,PhD,3146.85,2189.35,5336.2,20320.43,2189.35,24827.28,,Yes,3.00,15000,9800,15000,NA,,,06/06/2024,2024-2025,1.00,1.00,3.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-13978.7874,-11428,-23428,-33606.0624,-31055.275,-43055.275
Concordia,799.00,143.00,QC,Montreal,Physics,Department of Physics,MSc,3241.01,2189.35,5430.36,22637.93,2189.35,24827.28,,Yes,,10000,4569.6375,10000,NA,,,17/07/2024,2024-2025,1.00,1.00,0.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-19209.1499,-16658.3625,-28658.3625,-38606.0624,-36055.275,-48055.275
Concordia,799.00,143.00,QC,Montreal,Physics,Department of Physics,PhD,3146.85,2189.35,5336.2,20320.43,2189.35,22509.78,,Yes,,14000,8663.8,14000,NA,,,17/07/2024,2024-2025,1.00,1.00,0.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-15114.9874,-12564.2,-24564.2,-32288.5624,-29737.775,-41737.775
UQAM,628.00,NA,QC,Montreal,Biological Sciences - Ecology,Département des sciences biologiques,MSc,4315,,4315,23840,,23840,,Yes,2.00,12500,8185,12500,NA,,,04/06/2024,2024-2025,1.00,1.00,0.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-15593.7874,-13043,-25043,-35118.7874,-32568,-44568
UQAM,628.00,NA,QC,Montreal,Biological Sciences - Ecology,Département des sciences biologiques,PhD,4315,,4315,4315,,4315,Full,Yes,4.00,17000,12685,17000,NA,,,04/06/2024,2024-2025,1.00,1.00,1.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-11093.7874,-8543,-20543,-11093.7874,-8543,-20543
UQAM,628.00,NA,QC,Montreal,Physics,"No physics department, using Sciences de l’atmosphère: météo et climat",MSc,4315,,4315,23840,,23840,,No,,,,,NA,,,04/06/2024,,1.00,1.00,0.00,0.00,20753.00,Montreal,23778.7874,1769,21228,,,,,,
UQAM,628.00,NA,QC,Montreal,Physics,"No physics department, using Sciences de l’atmosphère: météo et climat",PhD,4315,,4315,4315,,4315,,Yes,,13000,8685,13000,NA,,,04/06/2024,,1.00,1.00,0.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-15093.7874,-12543,-24543,-15093.7874,-12543,-24543
Laval,1125.00,34.00,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,MSc,2304.72,975.28,3280,15782.4,975.28,16757.68,,No,,,,,,,,04/06/2024,,,,,,20462.00,Quebec City,23445.3596,1254,15048,,,,,,
Laval,1125.00,34.00,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,PhD,2304.72,975.28,3280,14166.72,975.28,15142,,No,,,,,,,,04/06/2024,,,,,,20462.00,Quebec City,23445.3596,1254,15048,,,,,,
Laval,1125.00,34.00,QC,Quebec City,Physics,"Département de physique, de génie physique et d'optique",MSc,2304.72,975.28,3280,15782.4,975.28,16757.68,,"No (officially, informally most offer a minimum of 16K, 2yrs guaranteed)",2.00,16000,12720,16000,NA,,,04/06/2024,2024-2025,0.00,0.00,0.00,0.00,20462.00,Quebec City,23445.3596,1254,15048,-10725.3596,-2328,-14328,-24203.0396,-15805.68,-27805.68
Laval,1125.00,34.00,QC,Quebec City,Physics,"Département de physique, de génie physique et d'optique",PhD,2304.72,975.28,3280,14166.72,975.28,15142,,"No (officially, informally most offer a minimum of 16K, 4yrs guaranteed)",4.00,16000,12720,16000,NA,,,04/06/2024,2024-2025,0.00,0.00,0.00,0.00,20462.00,Quebec City,23445.3596,1254,15048,-10725.3596,-2328,-14328,-22587.3596,-14190,-26190
Sherbrooke,771.00,NA,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,MSc,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,NA,NA,NA,NA,,,04/06/2024,,0.00,1.00,0.00,0.00,19601.00,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,NA,NA,NA,NA,NA,NA,NA,NA
Sherbrooke,771.00,NA,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,PhD,4321.35,1329.39,5650.74,4320,1335,5655,Full,,,NA,NA,NA,NA,,,04/06/2024,,0.00,1.00,0.00,0.00,19601.00,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,NA,NA,NA,NA,NA,NA,NA,NA
Sherbrooke,771.00,NA,QC,Sherbrooke,Physics,Physique,MSc,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,NA,NA,NA,NA,,,04/06/2024,,0.00,1.00,0.00,0.00,19601.00,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,NA,NA,NA,NA,NA,NA,NA,NA
Sherbrooke,771.00,NA,QC,Sherbrooke,Physics,Physique,PhD,4321.35,1329.39,5650.74,4320,1335,5655,Full,,,18000,12349.26,18000,NA,,,04/06/2024,2017?,0.00,1.00,0.00,0.00,19601.00,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,NA,NA,-10109.5658,NA,NA,-10113.8258,NA,NA
Regina,326.00,60.00,SK,Regina,Biological Sciences - Ecology,Biology,MSc,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,1.00,NA,NA,NA,NA,,,15/07/2024,,0.00,0.50,0.00,0.00,23094.00,Regina,26461.1052,1121,13452,NA,NA,NA,NA,NA,NA
Regina,326.00,60.00,SK,Regina,Biological Sciences - Ecology,Biology,PhD,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,1.00,NA,NA,NA,NA,,,15/07/2024,,0.00,0.50,0.00,0.00,23094.00,Regina,26461.1052,1121,13452,NA,NA,NA,NA,NA,NA
Regina,326.00,60.00,SK,Regina,Physics,Physics,MSc,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,,NA,NA,NA,NA,,,06/05/2024,,0.00,1.00,0.00,0.00,23094.00,Regina,26461.1052,1121,13452,NA,NA,NA,NA,NA,NA
Regina,326.00,60.00,SK,Regina,Physics,Physics,PhD,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,,NA,NA,NA,NA,,,06/05/2024,,0.00,1.00,0.00,0.00,23094.00,Regina,26461.1052,1121,13452,NA,NA,NA,NA,NA,NA
Saskatchewan,1122.00,475.00,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,MSc,4932,1227.45,6159.45,11097,1227.45,12324.45,No,No,2.33,22500,16340.55,22500,NA,288.00,,15/07/2024,2023-2024,0.00,1.50,1.00,0.00,23513.00,Saskatoon,26941.1954,1055,12660,-10600.6454,3680.55,-8319.45,-16765.6454,-2484.45,-14484.45
Saskatchewan,1122.00,475.00,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,PhD,4932,1227.45,6159.45,4932,1277.45,6209.45,No,No,4.33,24000,17840.55,24000,NA,288.00,,15/07/2024,2023-2024,0.00,1.50,1.00,0.00,23513.00,Saskatoon,26941.1954,1055,12660,-9100.6454,5180.55,-6819.45,-9150.6454,5130.55,-6869.45
Saskatchewan,1122.00,475.00,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,MSc,4932,1227.39,6159.39,11097,1227.39,12324.39,,Yes,2.00,18000,11840.61,18000,NA,60.00,,07/05/2024,"2024-2025 (assumed, stipend from email)",1.00,1.50,0.00,0.00,23513.00,Saskatoon,26941.1954,1055,12660,-15100.5854,-819.39,-12819.39,-21265.5854,-6984.39,-18984.39
Saskatchewan,1122.00,475.00,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,PhD,4932,1227.39,6159.39,4932,1227.39,6159.39,,Yes,4.00,20000,13840.61,20000,NA,60.00,,,,1.00,1.50,0.00,0.00,23513.00,Saskatoon,26941.1954,1055,12660,-13100.5854,1180.61,-10819.39,-13100.5854,1180.61,-10819.39
École Polytechnique de Montréal,305.00,NA,QC,Montreal,Biological Sciences - Ecology,Genie Biomedical,MSc,4100,,4100,23100,,23100,,"No, Discretion of Supervisor",1.66,20500,16400,20500,NA,,,10/06/2024,2024-2025,1.00,1.00,1.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-7378.7874,-4828,-16828,-26378.7874,-23828,-35828
École Polytechnique de Montréal,305.00,NA,QC,Montreal,Biological Sciences - Ecology,Genie Biomedical,PhD,4100,,4100,4100,,4100,,"No, Discretion of Supervisor",3.00,24000,19900,24000,NA,,,10/06/2024,2024-2025,1.00,1.00,1.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-3878.7874,-1328,-13328,-3878.7874,-1328,-13328
École Polytechnique de Montréal,305.00,NA,QC,Montreal,Physics,Genie Physique,MSc,4100,,4100,23100,,23100,,"No, Discretion of Supervisor",1.66,20500,16400,20500,NA,,,10/06/2024,2024-2025,1.00,1.00,1.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-7378.7874,-4828,-16828,-26378.7874,-23828,-35828
École Polytechnique de Montréal,305.00,NA,QC,Montreal,Physics,Genie Physique,PhD,4100,,4100,4100,,4100,,"No, Discretion of Supervisor",3.00,24000,19900,24000,NA,,,10/06/2024,2024-2025,1.00,1.00,1.00,0.00,20753.00,Montreal,23778.7874,1769,21228,-3878.7874,-1328,-13328,-3878.7874,-1328,-13328
University of Winnipeg,172.00,86.00,MB,Winnipeg,Biological Sciences - Ecology,Biology,MSc,7385.52,1312.22,8697.74,15205.02,2746.22,17951.24,,NA,NA,NA,NA,NA,NA,,,15/07/2024,2024-2025,1.00,1.50,,0.00,22714.00,Winnipeg,26025.7012,1232,14784,NA,NA,NA,NA,NA,NA
