University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2024) ,Net International - Rent/year,Net International - Rent - $1K,Total Expenses,Operating Grant,Endowment
Windsor,ON,Windsor,,Physics,,,PhD,,,,FALSE,FALSE,7179.3,1597.08,8776.38,7179.3,,23685,2337.24,26022.24,,No,,,,,,,,,,,2024-04-18,,,,,,,,22170,26238.04,1421,17052,,-26238.04,-17052,-29052,-26238.04,-17052,-29052,427,140,140
Waterloo,ON,Waterloo,NSERC,Biological Sciences - Ecology,Science,Department of Biology ,MSc,https://uwaterloo.ca/biology/graduate-studies ,awettig@uwaterloo.ca,"April Wettig, Graduate Administrative Coordinator",FALSE,FALSE,6762,1777.61,8539.61,,,23088,2533.61,25621.61,Additional funding may be available to offset international tuition differential,Yes,2,26073,451,26073,451,,,10 hours/week for 2 terms if holding a GTA,,2024-03-12,23-Apr,0,1,2,1,"Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is 
not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student. Note that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/biology/sites/default/files/uploads/documents/bgs-handbook-2324-v2.pdf,22170,26238.04,2046,24552,"Waterloo ont, 113520 population, large population center",-25786.65,-24100.61,-36100.61,-25786.65,-24100.61,-36100.61,1226,437,492
Waterloo,ON,Waterloo,,Biological Sciences - Ecology,,,PhD,https://uwaterloo.ca/biology/graduate-studie ,awettig@uwaterloo.ca,"April Wettig, Graduate Administrative Coordinator",FALSE,FALSE,6762,1777.61,8539.61,,,23088,2533.61,25621.61,Additional funding may be available to offset international tuition differential,Yes,4,26073,451,26073,451,,,10 hours/week for 2 terms if holding a GTA,,2024-03-12,23-Apr,0,1,2,1,"Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student. Note that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/biology/sites/default/files/uploads/documents/bgs-handbook-2324-v2.pdf,22170,26238.04,2046,24552,,-25786.65,-24100.61,-36100.61,-25786.65,-24100.61,-36100.61,1226,437,492
Brock,ON,St. Catharines,,Biological Sciences - Ecology,,,PhD,https://brocku.ca/programs/graduate/phd-biol/,fmsgradoffice@brocku.ca,General inquiry,TRUE,TRUE,,,6725.34,,,,,20401.02,None indicated,Yes,4,21591.2,1190,31591.2,11190.18,,,10,Not provided,2024-03-12,23-Apr,0,1,0,2,Ancillary fees included in posted tuition. International students charged an additional $750.00 per term (included in total value). ,https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://brocku.ca/graduate-studies/scholarships-awards/funding/,22170,26238.04,1680,20160,,-25047.86,-18969.82,-30969.82,-15047.86,-8969.82,-20969.82,385,98,122
Trent,ON,Peterborough,NSERC,Biological Sciences - Ecology,Science,"Graduate programs are through the interdisciplinary 
Environmental & Life Sciences Graduate Programs",MSc,https://www.trentu.ca/els/environmental-life-sciences,enlsgrad@trentu.ca,,TRUE,FALSE,8090.87,458.67,8549.54,9012.79,,22276.07,458.67,22734.74,,Not clear,,,,,,,,,,2024-03-12,,0,1,0,0,,https://www.trentu.ca/graduatestudies/tuition-awards-funding ,https://www.trentu.ca/els/experience,21049,24911.34,,,Peterborough ont 84230 pop Medium population Center,-24911.34,,,-24911.34,,,220,70,95
Trent,ON,Peterborough,,Biological Sciences - Ecology,,,PhD,https://www.trentu.ca/els/environmental-life-sciences,enlsgrad@trentu.ca,,TRUE,FALSE,8090.87,458.67,8549.54,9012.79,,22276.07,458.67,22734.74,,Not clear,,,,,,,,,,2024-03-12,,0,1,0,0,,https://www.trentu.ca/graduatestudies/tuition-awards-fundin ,https://www.trentu.ca/els/experience,21049,24911.34,,,,-24911.34,,,-24911.34,,,220,70,95
Trent,ON,Peterborough,NSERC,Physics,Science,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,MSc,https://www.trentu.ca/physics/,materials@trentu.ca,,TRUE,FALSE,8090.87,1069.24,9160.11,9012.79,,22276.07,1825.24,24101.31,,,,,,,,,,,,,,,,,,Included the health and dental fees,,,21049,24911.34,,,,-24911.34,,,-24911.34,,,220,70,95
Trent,ON,Peterborough,,Physics,,,PhD,,,,TRUE,FALSE,8090.87,1069.24,9160.11,9012.79,,22276.07,1825.24,24101.31,,,,,,,,,,,,,,,,,,,,,21049,24911.34,,,,-24911.34,,,-24911.34,,,220,70,95
Brandon University,MB,Brandon,NSERC,Biological Sciences - Ecology,Science,Biology,MSc,https://www.brandonu.ca/biology/,No graduate program,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,20839,24662.81,,,Brandon Manitoba,-24662.81,-24662.81,-24662.81,,,,69,41,75
Brandon University,MB,Brandon,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,20839,24662.81,,,,-24662.81,-24662.81,-24662.81,,,,69,41,75
UQAM,QC,Montreal,NSERC,Biological Sciences - Ecology,Science,Département des sciences biologiques,MSc,https://bio.uqam.ca/en/#,,cyclesupbiologie@uqam.ca,TRUE,FALSE,4315,,4315,11400,,23840,,23840,,Yes,2,12500,,,,,,,,2024-06-04,2024-2025,1,1,0,0,Tuition & Fees are presented together,https://etudier.uqam.ca/cout-bourses,,20753,24561.03,1763,21156,Montreal,-24561.03,-21156,-33156,-24561.03,-21156,-33156,628,347,
UQAM,QC,Montreal,NSERC,Physics,Science,"No physics department, using Sciences de l’atmosphère: météo et climat",MSc,http://www.ism.uqam.ca/,,prog.scta.sup@uqam.ca,TRUE,FALSE,4315,,4315,11400,,23840,,23840,,No,,,,,,,,,,2024-06-04,,1,1,0,0,There is no physics department at UQAM (it appears to be run through neighboring institutions?). Using Atmospheric sciences instead,,,20753,24561.03,1763,21156,,-24561.03,-21156,-33156,-24561.03,-21156,-33156,628,347,
Laval,QC,Quebec City,NSERC,Biological Sciences - Ecology,Science,Departemente de Biologie,MSc,https://www.fsg.ulaval.ca/departements/departement-de-biologie,,info@bio.ulaval.ca,TRUE,FALSE,2304.72,975.28,3280,7193.52,,15782.4,975.28,16757.68,,No,,,,,,,,,,2024-06-04,,,,,,"Average is ~15k for MSc, 20k PhD",https://www.bbaf.ulaval.ca/en/scholarships-bursaries/canadian-citizens-or-permanent-residents/masters-program-funding/,https://www.fsg.ulaval.ca/futurs-etudiants/bourses-couts-et-financement-des-etudes#c41560,20462,24216.63,1353,16236,Quebec City,-24216.63,-16236,-28236,-24216.63,-16236,-28236,1125,512,34
Laval,QC,Quebec City,,Biological Sciences - Ecology,,,PhD,,,,TRUE,FALSE,2304.72,975.28,3280,,,14166.72,975.28,15142,,No,,,,,,,,,,2024-06-04,,,,,,Tuition based on 2 terms of 12 credits each.,https://www.bbaf.ulaval.ca/en/scholarships-bursaries/canadian-citizens-or-permanent-residents/masters-program-funding/,https://www.fsg.ulaval.ca/futurs-etudiants/bourses-couts-et-financement-des-etudes#c41560,20462,24216.63,1353,16236,,-24216.63,-16236,-28236,-24216.63,-16236,-28236,1125,512,34
TMU (Ryerson),ON,Toronto,NSERC,Biological Sciences - Ecology,Science,Department of Chemistry and Biology,MSc,https://www.torontomu.ca/chemistry-biology/graduate-studies/program-overview/,stephanie.assenza@torontomu.ca,,TRUE,FALSE,7612.63,1363.99,8976.62,10470.14,,24260,2119.98,26379.98,No,No,0,15000,6023,,-11380,,,0,0,2024-03-20,23-Apr,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. The input $9,000 is based on the ""3-5k per term"" estimate given to me by the department contact. ",https://www.torontomu.ca/current-students/tuition-fees/graduate/,N/A,24864,29426.37,2479,29748,Toronto,-23402.99,-23724.62,-35724.62,-40806.35,-41127.98,-53127.98,1036,262,155
TMU (Ryerson),ON,Toronto,,Biological Sciences - Ecology,,,PhD,https://www.torontomu.ca/chemistry-biology/graduate-studies/program-overview/,stephanie.assenza@torontomu.ca,,TRUE,FALSE,7612.63,1363.99,8976.62,8644.71,,23240,2119.99,25359.99,No,No,0,15000,6023,,-10360,,,0,0,2024-03-20,23-Apr,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. The input $9,000 is based on the ""3-5k per term"" estimate given to me by the department contact. ",https://www.torontomu.ca/current-students/tuition-fees/graduate/,NA,24864,29426.37,2479,29748,,-23402.99,-23724.62,-35724.62,-39786.36,-40107.99,-52107.99,1036,262,155
Sherbrooke,QC,Sherbrooke,NSERC,Biological Sciences - Ecology,Science,Biologie,MSc,,Secrétariat du Département de biologie,etud.superieures.biologie@USherbrooke.ca,TRUE,FALSE,4321.35,1329.39,5650.74,13487.85,,29595,1335,30930,50% to Full,,,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,23197.65,,,"Sherbrooke Quebec, 167162 pop Large population center",-23197.65,,,-23197.65,,,771,365,
Sherbrooke,QC,Sherbrooke,,Biological Sciences - Ecology,,,PhD,,,,TRUE,FALSE,4321.35,1329.39,5650.74,13487.85,,4320,1335,5655,Full,,,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,23197.65,,,,-23197.65,,,-23197.65,,,771,365,
Sherbrooke,QC,Sherbrooke,NSERC,Physics,Science,Physique,MSc,,Physics Secretary,secretariat-physique@USherbrooke.ca,TRUE,FALSE,4321.35,1329.39,5650.74,13487.85,,29595,1335,30930,50% to Full,,,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,23197.65,,,,-23197.65,,,-23197.65,,,771,365,
New Brunswick,NB,Fredericton,NSERC,Physics,Science,Department of Physics,MSc,,,,FALSE,FALSE,8001,1568.5,9569.5,,,14325,2233.1,16558.1,,Yes,2,16000,6431,16000,-558,,,,,2024-03-28,Not specified,1,1.5,3,0,,https://www.unb.ca/finance/_assets/documents/financial-services/new/fred_gr_research_ft_new.pdf,https://www.unb.ca/fredericton/science/depts/physics/graduate/funding.html,22606,26754.04,,,,-20323.54,,,-27312.14,,,354,128,238
New Brunswick,NB,Fredericton,,Physics,,,PhD,,,,FALSE,FALSE,8001,1568.5,9569.5,,,14325,2233.1,16558.1,,Yes,4,17000,7431,17000,442,,,,,2024-03-28,Not specified,1,1.5,3,0,,https://www.unb.ca/finance/_assets/documents/financial-services/new/fred_gr_research_ft_new.pdf,https://www.unb.ca/fredericton/science/depts/physics/graduate/funding.html,22606,26754.04,,,,-19323.54,,,-26312.14,,,354,128,238
Wilfrid Laurier,ON,Waterloo,NSERC,Biological Sciences - Ecology,Science,,MSc,https://wlu.ca/programs/science/graduate/integrative-biology-msc/index.html,integrativebiology@wlu.ca,,FALSE,FALSE,6788.76,1708.56,8497.32,,,21171.39,1708.56,22879.95,Legal dependants,Yes,,16480,7983,,-6400,,,Optional,,19-02-2024,,0,0.25,1,0,Website indicates that numbers might vary between programs but program page redirects to common weboage,https://www.wlu.ca/academics/faculties/graduate-and-postdoctoral-studies/tuition-and-funding/index.html?ref=graduate-and-postdoctoral-studies%2Ffunding-at-a-glance%2Findex.html,,22170,26238.04,2046,24552,Waterloo,-18255.36,-16569.32,-28569.32,-32637.99,-30951.95,-42951.95,421,127,114
UdeM,QC,Montreal,NSERC,Biological Sciences - Ecology,Science,Department of Biological Science,MSc,https://bio.umontreal.ca/english/student-resources/financial-support/#c83414,,,FALSE,FALSE,4450.95,1902.27,6353.22,13892.4,,30479.85,1902.27,32382.12,,Yes,?,13000,6646.78,13000,-19382.12,13000,-2794.67,,,2024-06-06,2024,1,1.5,3,1,"No statement about how long tuition is guarenteed, TA hours, etc",https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,20753,24561.03,1763,21156,,-17914.25,-14509.22,-26509.22,-43943.15,-40538.12,-52538.12,1277,662,442
Acadia,NS,Wolfville,,Biological Sciences - Ecology,,,PhD,,,,TRUE,FALSE,10847,1095,11942,12130,,24620,1639,26259,,Yes,2,20000,8058,,-6259,,,,,2024-03-04,2024-2024,1,1.5,0,0,,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Emailed,21868,25880.62,,,,-17822.62,,,-32139.62,,,114,33,120
Concordia,QC,Montreal,NSERC,Biological Sciences - Ecology,Science,Department of Biology ,MSc,https://www.concordia.ca/artsci/biology/programs/graduate/phd-biology.html,,,FALSE,FALSE,7350,,7350,16800,,,,0,,Yes,2,15000,7650,,,,,,,2024-06-06,,,,3,0,,,https://www.concordia.ca/content/dam/artsci/biology/docs/BIOLGradprogramguiderevised2024_inprogressMICHELLEApril2024_Changes_Accepted.pdf,20753,24561.03,1763,21156,Montreal,-16911.03,-13506,-25506,-24561.03,-21156,-33156,799,320,143
Saskatchewan,SK,Saskatoon,NSERC,Physics,Science,Department of Physics and Engineering Physics,MSc,https://artsandscience.usask.ca/physics/index.php,phys-engphys_gradchair@usask.ca,,TRUE,FALSE,4932,1227.39,6159.39,,,11097,1227.39,12324.39,,Yes,2,18000,11841,,5676,,,60,,2024-05-07,"2024-2025 (assumed, stipend from email)",1,1.5,0,0,While there is a link that appears to discuss (Departmental guidelines and Action Plan for devolved scholarship funds) that link is dead.,https://students.usask.ca/money/tuition-fees/graduate-tuition.php,Email,23513,27827.47,1258,15096,,-15986.86,-3255.39,-15255.39,-22151.86,-9420.39,-21420.39,1122,464,475
UdeM,QC,Montreal,,Biological Sciences - Ecology,,,PhD,https://bio.umontreal.ca/english/student-resources/financial-support/#c83414,,,FALSE,FALSE,4450.95,1902.27,6353.22,,,27359.55,1902.27,29261.82,,Yes,?,15000,8646.78,15000,-14261.82,,,,,2024-06-06,2024,1,1.5,3,1,,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,20753,24561.03,1763,21156,,-15914.25,-12509.22,-24509.22,-38822.85,-35417.82,-47417.82,1277,662,442
UQAM,QC,Montreal,,Physics,,,PhD,,Got email returned from a main Science faculty officer,facsciences.coordo@uqam.ca,TRUE,FALSE,4315,,4315,4315,,4315,,4315,,Yes,,13000,8685,,8685,,,,,2024-06-04,,1,1,0,0,"Hello,

There is no garanteed stipend by the programs, altough PhD students almost always receive grants or are hired by their research direction.

The university itself offers garanteed grants to all full time doctorate students (""bourse de soutien universel au doctorat""): https://bourses.uqam.ca/trouver-une-bourse/programme-de-bourses-de-soutien-universel-au-doctorat/ . It is 13 000$.

There are also some grants offered to some master students, but it is not for all of them. It gives 4000$: https://bourses.uqam.ca/trouver-une-bourse/bourses-institutionnelles-aux-cycles-superieurs/
Some  grants for master students are specifically offered to international students, to lower the cost of tuition: https://bourses.uqam.ca/trouver-une-bourse/bourses-detudes-droits-de-scolarite-majores/ . 

And of course there are institutionna grants for excellence, as well as a lot of paid research work available (but not garanteed).

I hope this will be usefull to you.

Regards,

 

Sophie Bonin
Coordonnatrice, Faculté des sciences
514-987-3000 poste 2258
 
",,,20753,24561.03,1763,21156,,-15876.03,-12471,-24471,-15876.03,-12471,-24471,628,347,
Western,ON,London,NSERC,Physics,Science,Physics and Astronomy,MSc,https://www.physics.uwo.ca/,"Email (Graduate and Academic Information Requests): Brian Davis, bdavis66@uwo.ca ",,FALSE,FALSE,6360,991.55,7351.55,,,26353.55,991.55,27345.1,,Yes,2,18741,11389,28612,1267,,,,,2024-04-12,,1,1.5,3,3,"Another unclear sheet of tuition/fee structures. It appears that there's a single year charge for international students, then a per-term tuition cost.",https://www.registrar.uwo.ca/student_finances/fees_refunds/pdfsfeeschedule/Grad%20Fees%20-%20Winter%202022%20FT%20INTL.pdf,,22170,26238.04,1782,21384,,-14848.59,-9994.55,-21994.55,-24971.14,-20117.1,-32117.1,1323,268,1142
Western,ON,London,,Physics,,,PhD,https://www.physics.uwo.ca/,,,FALSE,FALSE,6360,991.55,7351.55,,,9521.55,991.55,10513.1,,Yes,4,18741,11389,28612,18099,,,,,2024-04-12,,1,1.5,3,3,The graduate handbook appears to be nearly a decade out of date? should contact them.,,,22170,26238.04,1782,21384,,-14848.59,-9994.55,-21994.55,-8139.14,-3285.1,-15285.1,1323,268,1142
Concordia,QC,Montreal,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,5200,,5200,5200,,,,0,,Yes,3,15000,9800,,,,,,,2024-06-06,,,,3,0,,,https://www.concordia.ca/content/dam/artsci/biology/docs/BIOLGradprogramguiderevised2024_inprogressMICHELLEApril2024_Changes_Accepted.pdf,20753,24561.03,1763,21156,,-14761.03,-11356,-23356,-24561.03,-21156,-33156,799,320,143
Ottawa,ON,Ottawa,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,,,,FALSE,FALSE,2456.71,2489.62,4946.33,2708.53,2489.62,9720.89,3245.62,12966.51,,Yes,2,19500,14553.67,,6533.49,,16791,65-90.5,,2024-03-01,2023-20234,0,0,1,0,"Very complex set of fee and tuition structures, which change depending on how long you've been around. I, for consistency, stuck with what it would be if you were just starting with a full-time program. Even better, you have to add up the ancillary fees yourself. Stipend does require TAing at least 1 per term. Hours depend on if it's demonstration (65) or grading (90.5) or a combination (in between)",https://www.uottawa.ca/study/fees-financial-support/university-fees/tuition-canadians-ontario,https://science.uottawa.ca/biology/sites/science.uottawa.ca.biology/files/biogradguidebook-en.pdf,24408,28886.7,1994,23928,,-14333.03,-9374.33,-21374.33,-22353.21,-17394.51,-29394.51,1379,336,334
Saskatchewan,SK,Saskatoon,,Physics,,,PhD,,,,TRUE,FALSE,4932,1227.39,6159.39,,,4932,1227.39,6159.39,,Yes,4,20000,13841,,13841,,,60,,,,1,1.5,0,0,"•        Do you offer a guaranteed stipend for graduate students (both master's and PhD)?  PhD students are guaranteed $20k/year and MSc are guaranteed $18k/year.

•         If so, how many years is this stipend guaranteed for? PhD is for 4 years; MSc is for 2 years.

•        What is the minimum value of this stipend (either gross or net of tuition)?  Students receive the full stipend, they pay their own tuition.
 
•        Are students required to TA or RA on non-thesis-related work to attain this minimum level?  Students who receive departmental scholarships as part of the stipend totals are required to do TA work.

•        If TAing or RAing is required, how many hours per year (or week) does this entail?  Dependent on the amount of the scholarship they can be assigned between 30-60 hours per term.

•        Does the department have any initiatives in place to mitigate higher tuition and healthcare costs for international students?  We do not at this time due to limited funding available. Some Professors will give their students an extra stipend payment at the beginning of the term to help with their tuition.  Most students receive more than the required minimum stipend amounts already.
",,,23513,27827.47,1258,15096,,-13986.86,-1255.39,-13255.39,-13986.86,-1255.39,-13255.39,1122,464,475
UdeM,QC,Montreal,NSERC,Physics,Science,Department of Physics,MSc,https://phys.umontreal.ca/english/home/,,physique@umontreal.ca,FALSE,FALSE,4450.95,1902.27,6353.22,13892.4,,30479.85,1902.27,32382.12,,Yes,?,17550,11197,17550,-14832,17550,1755,,,2024-06-06,2024-2025,1,1.5,3,0,"No statement about how long tuition is guarenteed, TA hours, etc",https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://phys.umontreal.ca/english/student-resources/financial-support/,20753,24561.03,1763,21156,,-13364.25,-9959.22,-21959.22,-39393.15,-35988.12,-47988.12,1277,662,442
New Brunswick,NB,Fredericton,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,biodogs@unb.ca,"Shawn MacLellan, Director of Graduate Studies",TRUE,FALSE,8001,1568.5,9569.5,,,14325,2233.1,16558.1,,Yes,2,23069.5,13500,,6511.4,,,2 units - emailed to clarify,,2024-04-29,Emailed for 2023-24 (24-25 posted),1,1.5,3,0,"AW: Funding is ""subject to availability"", so maybe not actually guaranteed. Howeer, the assistance is the base amount of $13500 plus tuition and incidental fees, reflected in the formula in this row. Tuition posted is for 2024-25 academic year, so I have emailed to request 2023-24 data. ",https://www.unb.ca/finance/financial-services/graduate/index.html,,22606,26754.04,,,"Fredericton, NB",-13254.04,,,-20242.64,,,354,128,238
New Brunswick,NB,Fredericton,,Biological Sciences - Ecology,,,PhD,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,biodogs@unb.ca,"Shawn MacLellan, Director of Graduate Studies",TRUE,FALSE,8001,1568.5,9569.5,,,14325,2233.1,16558.1,,Yes,4,23069.5,13500,,6511.4,,,2 units - emailed to clarify,,2024-04-29,Emailed for 2023-24 (24-25 posted),1,1.5,3,0,"AW: Funding is ""subject to availability"", so maybe not actually guaranteed. Howeer, the assistance is the base amount of $13500 plus tuition and incidental fees, reflected in the formula in this row. Tuition posted is for 2024-25 academic year, so I have emailed to request 2023-24 data. ",https://www.unb.ca/finance/financial-services/graduate/index.html,,22606,26754.04,,,,-13254.04,,,-20242.64,,,354,128,238
Acadia,NS,Wolfville,NSERC,Biological Sciences - Ecology,Science,Biology,MSc,https://biology.acadiau.ca/home.html,biology@acadiau.ca,mark.mallory@acadiau.ca,TRUE,FALSE,6363.5,725,7088.5,7005,,14750.52,1279,16029.52,,Yes,2,20000,12911.5,,3970.48,,,,,2024-03-04,2024-2024,1,1.5,0,0,Including dental and health in calculations,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Emailed,21868,25880.62,,,"Wolfville, NS 4195 population (!) Small population Center",-12969.12,,,-21910.14,,,114,33,120
Ottawa,ON,Ottawa,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,2122.2,1934.86,4057.06,2228.31,1934.86,5825.85,2690.86,8516.71,"3,000 / term",Yes,4,20500,16442.94,,16926.23,,18272,65-90.5,,2024-03-01,2023-20234,0,0,1,0,There is an international PhD support of $3k/term that just started in 2023. They do describe it as a 'non-guaranteed' funding,,,24408,28886.7,1994,23928,,-12443.76,-7485.06,-19485.06,-11960.47,-7001.77,-19001.77,1379,336,334
Manitoba,MB,Winnipeg,NSERC,Physics,Science,Physics & Astronomy,MSc,https://umanitoba.ca/explore/programs-of-study/physics-msc,Gerald Gwinner,Gerald.Gwinner@umanitoba.ca,FALSE,FALSE,6459.88,1701.37,8161.25,,,13548.24,3077.37,16625.61,,Yes,,22650,14489,22650,6024,,,0,,2024-03-28,2023/2024,0,0.5,1,1,,https://umanitoba.ca/registrar/tuition-fees/graduate,https://umanitoba.ca/science/student-experience/financial-aid-awards/physics-and-astronomy,22714,26881.86,1416,16992,,-12393.11,-2503.25,-14503.25,-20857.47,-10967.61,-22967.61,959,424,936
Victoria,BC,Victoria,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://www.uvic.ca/science/biology/graduate/program/index.php,biology@uvic.ca,Jennie Bartosik,TRUE,FALSE,6403.62,1356.88,7760.5,,,8076.9,1356.88,9433.78,,Yes,2,22000,14239.5,22000,12566.22,,,,,2024-04-29,2023/2024,0,1,3,2,"AW: No guaranteed minimum, but UVic Fellowships are valued at $17,500 per year (MSc) and $20,000 per year (PhD)",,"The 2024-5 tuition years are posted on the website at the time of data collection. I emailed the program to request 2023-4 stipend data (22k per year). The stipend will be raised to 26,000 this coming academic year. ",22255 OR 24482,26338.64 OR 28974.28,2168,26016,"Technically, victoria only has 92,141 pop, making it a medium population center. However, Saanich is directly to the north, and is talking about merging (along with all the other cities here). I'm going to make this have 2 categories, but we should talk about that. data to the right considered just the lower of the two numbers",-12099.14,-11776.5,-23776.5,-13772.42,-13449.78,-25449.78,691,216,523
Victoria,BC,Victoria,,Biological Sciences - Ecology,,,PhD,https://www.uvic.ca/science/biology/graduate/program/index.php,biology@uvic.ca,Jennie Bartosik,TRUE,FALSE,6403.62,1356.88,7760.5,,,8076.9,1356.88,9433.78,,Yes,4,22000,14239.5,22000,12566.22,,,,,2024-04-29,2023/2024,0,1,3,2,"AW: No guaranteed minimum, but UVic Fellowships are valued at $17,500 per year (MSc) and $20,000 per year (PhD)",,"The 2024-5 tuition years are posted on the website at the time of data collection. I emailed the program to request 2023-4 stipend data (22k per year). The stipend will be raised to 26,000 this coming academic year. ",22255 OR 24482,26338.64 OR 28974.28,2168,26016,,-12099.14,-11776.5,-23776.5,-13772.42,-13449.78,-25449.78,691,216,523
UQAM,QC,Montreal,,Biological Sciences - Ecology,,,PhD,,,,TRUE,FALSE,4315,,4315,4315,,4315,,4315,Full,Yes,4,17000,12685,,12685,,,,,2024-06-04,2024-2025,1,1,1,0,"•        Do you offer a guaranteed stipend for graduate students (both master’s and PhD)?
The program of biology at UQAM imposes professors to pay a minimum stipends per student per year.
MSc = $12500 / PhD = $17000
Professors can ask for a maximum of one derogation. In biology, most professors pay their student more than this minimum (I would say the average is around $20000 before TAships, which means that students may be able to get around $25000 per year, they may also apply to institutional fellowships to get more money, and again whether the supervisors reduces their contribution or not depends on the professor).
UQAM also provides 13 000$ as an automatic institutional fellowship to every PhD student (5K 1st year ; 4k 2nd year ; 4K 3rd year). But professors can decide to include or not that amount in the minimum stipend described above.

•        If so, how many years is this stipend guaranteed for?
MSc = 2 years (6 terms) / PhD = 4 years (12 terms). There is no obligation, but most professors would extend the stipends if the student needs to extend their registration. 

•        What is the minimum value of this stipend (either gross or net of tuition)?
See above (gross).

•        Are students required to TA or RA on non-thesis-related work to attain this minimum level?
No. Students can choose to add TAships to this stipends. They generally do. 
I’ve heard some professors asked their students to do non-thesis-related research work, but I don’t think it’s the norm.

•        If TAing or RAing is required, how many hours per year (or week) does this entail?
We set a maximum number of TAships per year, because too much teaching could delay the thesis work. 

•        Does the department have any initiatives in place to mitigate higher tuition and healthcare costs for international students?
Yes. All the international PhD students (or the Canadian non Quebecer students) pay tuition fees that are equivalent to those of Quebec residents. That comes from an automatic tuition support from UQAM institution.
Unfortunately it’s not automatic for Master’s students, but UQAM’s Faculty of Science provides some fellowships per year to reduce tuition fees to the same level as Quebec students for the two years of the MSc.
If you want to get more information on tuition fees at UQAM: https://etudier.uqam.ca/cout-bourses
Every students who comes to Quebec, becomes a (temporary) Quebec resident and thus gets the provincial health care coverage.
I hope this will help. Thanks a lot for you actions! It’s really appreciated. I’ll try to change the content of the web page to add this type of information.
Best
Denis
",,https://etudier.uqam.ca/programme?code=3805,20753,24561.03,1763,21156,,-11876.03,-8471,-20471,-11876.03,-8471,-20471,628,347,
